subject,topic,text,text_clean,topic_clean,word_count
Mathematics,Algebra,Algebra is a branch of mathematics dealing with symbols and the rules for manipulating those symbols. Variables represent numbers or quantities in algebraic expressions and equations.,algebra is a branch of mathematics dealing with symbols and the rules for manipulating those symbols. variables represent numbers or quantities in algebraic expressions and equations.,algebra,26
Mathematics,Calculus,"Calculus is the mathematical study of continuous change. It has two major branches: differential calculus and integral calculus, which are related by the fundamental theorem of calculus.","calculus is the mathematical study of continuous change. it has two major branches: differential calculus and integral calculus, which are related by the fundamental theorem of calculus.",calculus,27
Mathematics,Geometry,"Geometry is a branch of mathematics concerned with questions of shape, size, relative position of figures, and the properties of space.","geometry is a branch of mathematics concerned with questions of shape, size, relative position of figures, and the properties of space.",geometry,21
Mathematics,Statistics,"Statistics is the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data.","statistics is the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data.",statistics,15
Science,Physics,"Physics is the natural science that studies matter, its motion and behavior through space and time, and the related entities of energy and force.","physics is the natural science that studies matter, its motion and behavior through space and time, and the related entities of energy and force.",physics,24
Science,Chemistry,"Chemistry is the scientific discipline involved with elements and compounds composed of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during a reaction with other substances.","chemistry is the scientific discipline involved with elements and compounds composed of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during a reaction with other substances.",chemistry,32
Science,Biology,"Biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development and evolution.","biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development and evolution.",biology,24
Science,Astronomy,"Astronomy is a natural science that studies celestial objects and phenomena. It uses mathematics, physics, and chemistry in order to explain their origin and evolution.","astronomy is a natural science that studies celestial objects and phenomena. it uses mathematics, physics, and chemistry in order to explain their origin and evolution.",astronomy,25
Computer Science,Algorithms,"An algorithm is a finite sequence of well-defined, computer-implementable instructions to solve a class of problems or to perform a computation.","an algorithm is a finite sequence of well-defined, computer-implementable instructions to solve a class of problems or to perform a computation.",algorithms,21
Computer Science,Data Structures,A data structure is a particular way of organizing and storing data in a computer so that it can be accessed and modified efficiently.,a data structure is a particular way of organizing and storing data in a computer so that it can be accessed and modified efficiently.,data structures,24
Computer Science,Machine Learning,Machine learning is a method of data analysis that automates analytical model building. It is based on the idea that systems can learn from data and identify patterns.,machine learning is a method of data analysis that automates analytical model building. it is based on the idea that systems can learn from data and identify patterns.,machine learning,28
Computer Science,Networking,"Computer networking is the practice of connecting computers and devices to share resources. Networks can be classified by geographic scale, such as LANs and WANs.","computer networking is the practice of connecting computers and devices to share resources. networks can be classified by geographic scale, such as lans and wans.",networking,25
History,World War II,World War II was a global war that lasted from 1939 to 1945. It involved the vast majority of the world's countries forming two opposing military alliances.,world war ii was a global war that lasted from 1939 to 1945. it involved the vast majority of the world's countries forming two opposing military alliances.,world war ii,27
History,Ancient Rome,Ancient Rome was a civilization that grew from a small agricultural community on the Italian Peninsula to one of the largest empires in the ancient world.,ancient rome was a civilization that grew from a small agricultural community on the italian peninsula to one of the largest empires in the ancient world.,ancient rome,26
History,Industrial Revolution,The Industrial Revolution was the transition to new manufacturing processes in Europe and the United States from about 1760 to 1840.,the industrial revolution was the transition to new manufacturing processes in europe and the united states from about 1760 to 1840.,industrial revolution,21
English,Grammar,"English grammar is the set of structural rules of the English language. This includes the structure of words, phrases, clauses, sentences, and whole texts.","english grammar is the set of structural rules of the english language. this includes the structure of words, phrases, clauses, sentences, and whole texts.",grammar,24
English,Literature,"Literature broadly refers to any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form.","literature broadly refers to any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form.",literature,25
Mathematics,Algebra,Algebra is a branch of mathematics dealing with symbols and the rules for manipulating those symbols.,algebra is a branch of mathematics dealing with symbols and the rules for manipulating those symbols.,algebra,16
Science,Physics,"Physics is the natural science that studies matter, its motion and behavior through space and time.","physics is the natural science that studies matter, its motion and behavior through space and time.",physics,16
